gender,age_band,item,percentile,value
F,35-39,sit_reach,90,24.5
F,35-39,shuttle_run,10,8.0
F,35-39,shuttle_run,25,12.0
F,35-39,shuttle_run,50,17.0
F,35-39,shuttle_run,75,25.0
F,35-39,shuttle_run,90,31.0
F,35-39,standing_jump,10,118.0
F,35-39,standing_jump,25,132.0
F,35-39,standing_jump,50,149.0
F,35-39,standing_jump,75,163.0
F,35-39,standing_jump,90,175.0
F,40-44,grip,10,35.9
F,40-44,grip,25,41.4
F,40-44,grip,50,47.2
F,40-44,grip,75,53.2
F,40-44,grip,90,58.6
F,40-44,sit_up,10,10.0
F,40-44,sit_up,25,18.0
F,40-44,sit_up,50,25.0
F,40-44,sit_up,75,31.0
F,40-44,sit_up,90,38.0
F,40-44,sit_reach,10,2.9
F,40-44,sit_reach,25,9.1
F,40-44,sit_reach,50,15.0
F,40-44,sit_reach,75,20.1
F,40-44,sit_reach,90,23.6
F,40-44,shuttle_run,10,8.6
F,40-44,shuttle_run,25,11.5
F,40-44,shuttle_run,50,16.0
F,40-44,shuttle_run,75,21.5
F,40-44,shuttle_run,90,29.0
F,40-44,standing_jump,10,116.0
F,40-44,standing_jump,25,130.0
F,40-44,standing_jump,50,146.0
F,40-44,standing_jump,75,160.0
F,40-44,standing_jump,90,173.0
F,45-49,grip,10,35.5
F,45-49,grip,25,41.1
F,45-49,grip,50,46.8
F,45-49,grip,75,51.9
F,45-49,grip,90,56.9
F,45-49,sit_up,10,6.0
F,45-49,sit_up,25,16.0
F,45-49,sit_up,50,23.0
F,45-49,sit_up,75,30.0
F,45-49,sit_up,90,36.0
F,45-49,sit_reach,10,2.5
F,45-49,sit_reach,25,9.1
F,45-49,sit_reach,50,15.0
F,45-49,sit_reach,75,19.6
F,45-49,sit_reach,90,23.0
F,45-49,shuttle_run,10,8.0
F,45-49,shuttle_run,25,10.0
F,45-49,shuttle_run,50,14.0
F,45-49,shuttle_run,75,19.0
F,45-49,shuttle_run,90,25.0
F,45-49,standing_jump,10,115.0
F,45-49,standing_jump,25,128.0
F,45-49,standing_jump,50,143.0
F,45-49,standing_jump,75,157.0
F,45-49,standing_jump,90,168.0
F,50-54,grip,10,34.9
F,50-54,grip,25,40.0
F,50-54,grip,50,45.5
F,50-54,grip,75,51.1
F,50-54,grip,90,55.9
F,50-54,sit_up,10,3.0
F,50-54,sit_up,25,11.0
F,50-54,sit_up,50,19.0
F,50-54,sit_up,75,27.0
F,50-54,sit_up,90,33.0
F,50-54,sit_reach,10,5.2
F,50-54,sit_reach,25,11.1
F,50-54,sit_reach,50,15.9
F,50-54,sit_reach,75,20.2
F,50-54,sit_reach,90,23.6
F,50-54,shuttle_run,10,8.0
F,50-54,shuttle_run,25,10.0
F,50-54,shuttle_run,50,14.0
F,50-54,shuttle_run,75,17.0
F,50-54,shuttle_run,90,23.0
F,50-54,standing_jump,10,112.0
F,50-54,standing_jump,25,124.0
F,50-54,standing_jump,50,137.0
F,50-54,standing_jump,75,150.0
F,50-54,standing_jump,90,162.0
F,55-59,grip,10,34.7
F,55-59,grip,25,39.5
F,55-59,grip,50,44.8
F,55-59,grip,75,49.8
F,55-59,grip,90,54.3
F,55-59,sit_up,10,0.0
F,55-59,sit_up,25,7.0
F,55-59,sit_up,50,15.0
F,55-59,sit_up,75,23.0
F,55-59,sit_up,90,30.0
F,55-59,sit_reach,10,5.6
F,55-59,sit_reach,25,11.4
F,55-59,sit_reach,50,16.7
F,55-59,sit_reach,75,20.8
F,55-59,sit_reach,90,23.5
F,55-59,shuttle_run,10,7.0
F,55-59,shuttle_run,25,8.0
F,55-59,shuttle_run,50,11.0
F,55-59,shuttle_run,75,16.0
F,55-59,shuttle_run,90,20.0
F,55-59,standing_jump,10,102.0
F,55-59,standing_jump,25,115.0
F,55-59,standing_jump,50,130.0
F,55-59,standing_jump,75,144.0
F,55-59,standing_jump,90,154.0
F,60-64,grip,10,34.5
F,60-64,grip,25,39.2
F,60-64,grip,50,44.2
F,60-64,grip,75,49.4
F,60-64,grip,90,54.3
F,60-64,sit_up,10,0.0
F,60-64,sit_up,25,5.0
F,60-64,sit_up,50,13.0
F,60-64,sit_up,75,20.0
F,60-64,sit_up,90,28.0
F,60-64,sit_reach,10,6.1
F,60-64,sit_reach,25,11.8
F,60-64,sit_reach,50,16.8
F,60-64,sit_reach,75,20.7
F,60-64,sit_reach,90,23.7
F,60-64,shuttle_run,10,5.0
F,60-64,shuttle_run,25,8.0
F,60-64,shuttle_run,50,10.0
F,60-64,shuttle_run,75,13.0
F,60-64,shuttle_run,90,16.0
F,60-64,standing_jump,10,89.0
F,60-64,standing_jump,25,106.0
F,60-64,standing_jump,50,120.0
F,60-64,standing_jump,75,134.5
F,60-64,standing_jump,90,146.0
