course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1924,요가(A),2층 배움실,37.466764,126.869901,목,09:30,요가,1,0,1,0,0
C1925,요가(A),2층 배움실,37.466764,126.869901,화,09:30,요가,1,0,1,0,0
C1926,요가(B),2층 배움실,37.466764,126.869901,목,10:40,요가,1,0,1,0,0
C1927,요가(B),2층 배움실,37.466764,126.869901,화,10:40,요가,1,0,1,0,0
C1928,웰빙댄스,2층 배움실,37.466764,126.869901,수,13:00,댄스,0,1,0,1,0
C1929,웰빙댄스,2층 배움실,37.466764,126.869901,월,13:00,댄스,0,1,0,1,0
C1930,라인댄스(A),2층 배움실,37.466764,126.869901,금,10:00,댄스,0,1,0,1,0
C1931,라인댄스(A),2층 배움실,37.466764,126.869901,수,10:00,댄스,0,1,0,1,0
C1932,라인댄스(B),2층 배움실,37.466764,126.869901,금,11:10,댄스,0,1,0,1,0
C1933,라인댄스(B),2층 배움실,37.466764,126.869901,수,11:10,댄스,0,1,0,1,0
C1934,라인댄스,2층다목적실,37.466764,126.869901,목,13:30,댄스,0,1,0,1,0
C1935,라인댄스,2층다목적실,37.466764,126.869901,화,13:30,댄스,0,1,0,1,0
C1936,웰빙댄스,2층 다목적실,37.466764,126.869901,수,15:30,댄스,0,1,0,1,0
C1937,웰빙댄스,2층 다목적실,37.466764,126.869901,월,15:30,댄스,0,1,0,1,0
C1938,탁구교실,2층다목적실,37.466764,126.869901,수,13:00,탁구,0,0,0,1,1
C1939,탁구교실,2층다목적실,37.466764,126.869901,월,13:00,탁구,0,0,0,1,1
C1940,체력단련실,3층 체력단련실,37.466764,126.869901,금,09:00,생활체육,1,1,0,0,0
C1941,체력단련실,3층 체력단련실,37.466764,126.869901,목,09:00,생활체육,1,1,0,0,0
C1942,체력단련실,3층 체력단련실,37.466764,126.869901,수,09:00,생활체육,1,1,0,0,0
C1943,체력단련실,3층 체력단련실,37.466764,126.869901,화,09:00,생활체육,1,1,0,0,0
C1944,체력단련실,3층 체력단련실,37.466764,126.869901,월,09:00,생활체육,1,1,0,0,0
C1945,필라테스(A반),소하2동 행정복지센터,37.466764,126.869901,목,09:30,필라테스,1,1,1,0,0
C1946,필라테스(A반),소하2동 행정복지센터,37.466764,126.869901,화,09:30,필라테스,1,1,1,0,0
C1947,필라테스(B반),소하2동 행정복지센터,37.466764,126.869901,목,11:10,필라테스,1,1,1,0,0
C1948,필라테스(B반),소하2동 행정복지센터,37.466764,126.869901,화,11:10,필라테스,1,1,1,0,0
C1949,필라테스(C반),소하2동 행정복지센터,37.466764,126.869901,목,19:00,필라테스,1,1,1,0,0
C1950,필라테스(C반),소하2동 행정복지센터,37.466764,126.869901,화,19:00,필라테스,1,1,1,0,0
C1951,힐링요가(A반),소하2동 행정복지센터,37.466764,126.869901,수,15:00,요가,1,0,1,0,0
C1952,힐링요가(A반),소하2동 행정복지센터,37.466764,126.869901,월,15:00,요가,1,0,1,0,0
C1953,힐링요가(B반),소하2동 행정복지센터,37.466764,126.869901,수,16:40,요가,1,0,1,0,0
C1954,힐링요가(B반),소하2동 행정복지센터,37.466764,126.869901,월,16:40,요가,1,0,1,0,0
C1955,힐링요가(C반),소하2동 행정복지센터,37.466764,126.869901,수,18:20,요가,1,0,1,0,0
C1956,힐링요가(C반),소하2동 행정복지센터,37.466764,126.869901,월,18:20,요가,1,0,1,0,0
C1957,웰빙댄스(초급),소하2동 행정복지센터,37.466764,126.869901,목,16:00,댄스,0,1,0,1,0
C1958,웰빙댄스(초급),소하2동 행정복지센터,37.466764,126.869901,화,16:00,댄스,0,1,0,1,0
C1959,웰빙댄스(중급),소하2동 행정복지센터,37.466764,126.869901,목,17:40,댄스,0,1,0,1,0
C1960,웰빙댄스(중급),소하2동 행정복지센터,37.466764,126.869901,화,17:40,댄스,0,1,0,1,0
C1961,다이어트댄스(A반),소하2동 행정복지센터,37.466764,126.869901,목,11:00,댄스,0,1,0,1,0
C1962,다이어트댄스(A반),소하2동 행정복지센터,37.466764,126.869901,화,11:00,댄스,0,1,0,1,0
C1963,다이어트댄스(B반),소하2동 행정복지센터,37.466764,126.869901,수,18:30,댄스,0,1,0,1,0
C1964,다이어트댄스(B반),소하2동 행정복지센터,37.466764,126.869901,월,18:30,댄스,0,1,0,1,0
C1965,라인댄스(초급A),소하2동 행정복지센터,37.466764,126.869901,목,13:00,댄스,0,1,0,1,0
C1966,라인댄스(초급A),소하2동 행정복지센터,37.466764,126.869901,화,13:00,댄스,0,1,0,1,0
C1967,라인댄스(초급),동구미래교육과,36.312036,127.454917,금,10:00,댄스,0,1,0,1,0
C1968,요가B반,3층 다목적문화공간,37.466764,126.869901,수,10:40,요가,1,0,1,0,0
C1969,요가B반,3층 다목적문화공간,37.466764,126.869901,월,10:40,요가,1,0,1,0,0
C1970,라인댄스B,3층 대회의실,37.466764,126.869901,목,11:00,댄스,0,1,0,1,0
C1971,라인댄스B,3층 대회의실,37.466764,126.869901,화,11:00,댄스,0,1,0,1,0
C1972,라인댄스A,3층 대회의실,37.466764,126.869901,목,09:30,댄스,0,1,0,1,0
C1973,라인댄스A,3층 대회의실,37.466764,126.869901,화,09:30,댄스,0,1,0,1,0
C1974,기체조(수),광명6동 주민자치센터,37.466764,126.869901,수,15:30,생활체조,0,1,1,0,0
C1975,헬스,4층 프로그램2실,37.466764,126.869901,금,09:00,웨이트,1,1,0,0,0
C1976,헬스,4층 프로그램2실,37.466764,126.869901,목,09:00,웨이트,1,1,0,0,0
C1977,헬스,4층 프로그램2실,37.466764,126.869901,수,09:00,웨이트,1,1,0,0,0
C1978,헬스,4층 프로그램2실,37.466764,126.869901,화,09:00,웨이트,1,1,0,0,0
C1979,헬스,4층 프로그램2실,37.466764,126.869901,월,09:00,웨이트,1,1,0,0,0
C1980,요가,홍락원,35.163507,128.167960,수,15:00,요가,1,0,1,0,0
C1981,라인댄스(중급),청락원,35.185851,128.102724,목,10:00,댄스,0,1,0,1,0
C1982,가요체조,청락원,35.185851,128.102724,목,13:30,생활체조,0,1,1,0,0
C1983,리듬댄스,청락원,35.185851,128.102724,금,10:30,댄스,0,1,0,1,0
C1984,에어로빅,청락원,35.185851,128.102724,금,14:30,댄스,0,1,0,1,0
C1985,단전호흡,홍락원,35.163507,128.167960,수,10:00,기공,0,1,1,0,0
C1986,가요체조,홍락원,35.163507,128.167960,금,11:00,생활체조,0,1,1,0,0
C1987,리듬댄스,홍락원,35.163507,128.167960,금,10:00,댄스,0,1,0,1,0
C1988,댄스스포츠,산엔청건강누리센터 2층 프로그램실,35.413382,127.877443,수,14:00,댄스,0,1,0,1,0
C1989,웰빙생활댄스,산엔청건강누리센터 2층 프로그램실,35.413382,127.877443,금,14:00,댄스,0,1,0,1,0
C1990,요가,산엔청건강누리센터 2층 프로그램실,35.413382,127.877443,목,17:00,요가,1,0,1,0,0
C1991,필라테스,산엔청건강누리센터 2층 프로그램실,35.413382,127.877443,목,19:00,필라테스,1,1,1,0,0
C1992,다이어트댄스,산엔청건강누리센터 2층 프로그램실,35.413382,127.877443,화,19:00,댄스,0,1,0,1,0
C1993,볼링,산청볼링센터,35.413382,127.877443,화,18:30,볼링,1,0,0,0,1
C1994,파크골프(중급),관내 파크골프장,35.413382,127.877443,수,10:00,파크골프,0,0,1,0,0
C1995,파크골프(중급),관내 파크골프장,35.413382,127.877443,금,10:00,파크골프,0,0,1,0,0
C1996,운동재활트레이닝,홍천군 노인복지관,37.712902,127.907256,화,15:30,생활체육,1,1,0,0,0
C1997,요가,내면행정복지센터 다목적회관,37.774002,128.389959,화,16:00,요가,1,0,1,0,0
