address,lat,lng,method
경기도 의정부시 민락로 13 다목적실(3층),37.731153,127.086817,address
경기도 의정부시 민락로 360 5층 다목적강당,37.753190,127.113773,address
경기도 의정부시 바대논길21 해인프라자 2층 고산동 주민센터 2층 다목적실,37.731523,127.108094,address
경기도 의정부시 바대논길21 해인프라자 2층 고산동 주민센터내 2층 다목적실,37.731523,127.108094,address
경기도 의정부시 부용로 165 효자고등학교,37.753151,127.076633,address
경기도 의정부시 비우로 83 4층 티르타요가원,37.758417,127.036090,address
경기도 의정부시 산단로 123 204호,37.746390,127.079409,address
경기도 의정부시 산단로 123 B01호,37.746390,127.079409,address
경기도 의정부시 새롬안길7 4층 (구끼구끼 옆 건물),37.746634,127.107637,address
경기도 의정부시 서광로191 3층 고산청소년센터 3층 대강당,37.733782,127.111792,address
경기도 의정부시 서부로 720번길 34 부림스카이4층 이성숙탁구클럽,37.756078,127.040990,address
경기도 의정부시 서부로 720번길34 부림스카이빌딩4층 이성숙탁구장,37.756078,127.040990,address
경기도 의정부시 신곡로 45-20 백상플러스 4층,37.730799,127.055410,address
경기도 의정부시 신곡로 71 4층,37.733098,127.056225,address
경기도 의정부시 신촌로 35,37.750600,127.038644,address
경기도 의정부시 신흥로 115 별관 회룡실,37.726395,127.043050,address
경기도 의정부시 신흥로 115 본관 대회의실,37.726395,127.043050,address
경기도 의정부시 신흥로 115 본관3층 대회의실,37.726395,127.043050,address
경기도 의정부시 신흥로 115 본관4층 대회의실,37.726395,127.043050,address
경기도 의정부시 신흥로 275 2층 지하건강실,37.740785,127.042788,address
경기도 의정부시 오목로 205번길 67 (민락2지구),37.746120,127.095196,address
경기도 의정부시 용민로 115 3층 다목적실,37.739745,127.090001,address
경기도 의정부시 용민로 115 한마음 탁구장,37.739745,127.090001,address
경기도 의정부시 의정로 165,37.747772,127.034245,address
경기도 의정부시 장곡로 250번길 23,37.726409,127.054265,address
경기도 의정부시 장곡로 596번길 9 5층 502호,37.749504,127.069373,address
경기도 의정부시 진등로 21 3층 대강당,37.760158,127.032323,address
경기도 의정부시 추동로23번길 7,37.743618,127.057906,address
경기도 의정부시 추동로23번길 7 동오홀,37.743618,127.057906,address
경기도 의정부시 충의로39번길 2층,37.735394,127.087729,address
경기도 의정부시 평화로 303,37.719048,127.047071,address
경기도 의정부시 평화로 303 3층,37.719048,127.047071,address
경기도 의정부시 평화로 625 3층,37.747813,127.045221,address
경기도 의정부시 평화로230번길 12-9 2층 AV실,37.711992,127.048759,address
경기도 의정부시 평화로230번길 12-9 3층 다목적실,37.711992,127.048759,address
경기도 의정부시 회룡로 177 유경프라자 2층,37.727480,127.053907,address
경기도 의정부시 회룡로137번길 30,37.727330,127.049472,address
경기도 의정부시 흥선로 20 어울림실,37.746279,127.030708,address
경기도 의정부시 흥선로 20 어울림실(2층),37.746279,127.030708,address
경기도 의정부시 흥선로 20 흥선홀(3층),37.746279,127.030708,address
경기도 이천시 남천로 31,37.278239,127.441073,address
경기도 이천시 대월면 사동로1-10,37.229876,127.492388,address
경기도 이천시 마장면 오천로 105-26,37.249407,127.358828,address
경기도 이천시 모가면 공원로 161-29,37.183298,127.454881,address
경기도 이천시 설성면 설장로17번길 6-6,37.132231,127.521485,address
경기도 이천시 영창로159번길 7,37.282155,127.440182,address
경기도 이천시 율면고당로138번길5-9,37.095114,127.547094,address
경기도 이천시 장호원읍 서동대로 8844-6,37.114942,127.616835,address
경기도 이천시 장호원읍 서동대로 8965번길 57,37.115666,127.629577,address
경기도 이천시 증신로156번길 15,37.290384,127.452482,address
경기도 이천시 진상미로 1295,37.171807,127.480104,address
경기도 파주시 금정3길 40,37.756787,126.774126,address
경기도 평택시 안중읍 서동대로 1557,36.989681,126.922100,address
경기도 평택시 이충로 84-6,37.064401,127.067465,address
경기도 평택시 평택5로 220,36.998839,127.102156,address
경기도 하남시 감일순환로 181,37.507999,127.159028,address
경기도 하남시 아리수로 545,37.567618,127.187303,address
경기도 하남시 하남대로 732,37.536853,127.214225,address
경상남도 거제시 계룡로 175,34.884800,128.618889,address
경상남도 거창군 거창읍 하동1길 9,35.687398,127.911717,address
경상남도 고성군 고성읍 성내로 54,34.975439,128.314914,address
경상남도 김해시 금관대로 910번길 52,35.210801,128.850113,address
경상남도 김해시 김해대로 2401,35.228611,128.889395,address
경상남도 김해시 분성로 155 한국2차아파트 관리동 지하1층,35.230750,128.864494,address
경상남도 김해시 분성로48번길 8,35.231331,128.852282,address
경상남도 김해시 삼안로 226,35.248826,128.912304,address
경상남도 김해시 호계로 503,35.235372,128.883865,address
경상남도 남해군 남해읍 망운로30번길 9,34.838919,127.890654,address
