course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1355,,처인구실내배드민턴장,37.224598,127.222424,,,배드민턴,0,0,0,1,1
C1356,,큰솔근린공원(배드민턴장),37.315094,127.110736,,,배드민턴,0,0,0,1,1
C1357,,포곡도시숲 배드민턴장,37.278715,127.230333,,,배드민턴,0,0,0,1,1
C1358,,하갈동 실외배드민턴장,37.261750,127.092238,,,배드민턴,0,0,0,1,1
C1359,,해솔근린공원(골프장),37.308504,127.112412,,,골프,0,0,1,0,1
C1360,,해솔근린공원(배드민턴장),37.308504,127.112412,,,배드민턴,0,0,0,1,1
C1361,,88CC 골프연습장,37.306733,127.160462,,,골프,0,0,1,0,1
C1362,,88CC 골프장,37.306733,127.160462,,,골프,0,0,1,0,1
C1363,,구)경찰대 체육시설,37.295153,127.133767,,,생활체육,1,1,0,0,0
C1364,,구갈레스피아 농구장,37.266824,127.131244,,,농구,0,0,0,1,1
C1365,,구갈레스피아 배드민턴장,37.266824,127.131244,,,배드민턴,0,0,0,1,1
C1366,,기흥국민체육센터,37.277374,127.074652,,,생활체육,1,1,0,0,0
C1367,,동백동 농구장,37.272533,127.151687,,,농구,0,0,0,1,1
C1368,,동백미르휴먼센터,37.273512,127.151323,,,수영,0,1,1,1,0
C1369,,뜨락문화공원(농구장),37.290504,127.145018,,,농구,0,0,0,1,1
C1370,,뜨락문화공원(배드민턴장),37.290504,127.145018,,,배드민턴,0,0,0,1,1
C1371,,뜨락문화공원(인라인스케이트장),37.290504,127.145018,,,롤러,0,0,0,1,1
C1372,,법무연수원 용인분원 실내체육관,37.290801,127.135800,,,생활체육,1,1,0,0,0
C1373,,법무연수원 용인분원 테니스장,37.290801,127.135799,,,테니스,0,0,0,1,1
C1374,,보정교하부체육시설 배드민턴장,37.308987,127.108020,,,배드민턴,0,0,0,1,1
C1375,,보정미르휴먼센터,37.320046,127.112301,,,생활체육,1,1,0,0,0
C1376,,아람근린공원(인라인스케이트장),37.295208,127.154472,,,롤러,0,0,0,1,1
C1377,,하갈동 그라운드골프장,37.256361,127.096476,,,골프,0,0,1,0,1
C1378,,도마치근린공원(배드민턴장),37.327656,127.062209,,,배드민턴,0,0,0,1,1
C1379,,도장골어린이공원(농구장),37.327024,127.092849,,,농구,0,0,0,1,1
C1380,,동천체육공원(배드민턴장),37.334348,127.096263,,,배드민턴,0,0,0,1,1
C1381,,무지개근린공원(농구장),37.332726,127.123858,,,농구,0,0,0,1,1
C1382,,무지개근린공원(배드민턴장),37.332726,127.123858,,,배드민턴,0,0,0,1,1
C1383,,성복고가하부 농구장,37.318726,127.053695,,,농구,0,0,0,1,1
C1384,,성복고가하부 배드민턴장,37.318726,127.053695,,,배드민턴,0,0,0,1,1
C1385,,성복배수지 테니스장,36.497877,127.265434,,,테니스,0,0,0,1,1
C1386,,소실봉근린공원(농구장),37.307567,127.092048,,,농구,0,0,0,1,1
C1387,,수지근린공원(배드민턴장),37.324906,127.090562,,,배드민턴,0,0,0,1,1
C1388,,수지레스피아 내 인라인스케이트장,37.325620,127.104763,,,롤러,0,0,0,1,1
C1389,,수지레스피아 농구장,37.325649,127.104704,,,농구,0,0,0,1,1
C1390,,수지레스피아 테니스장,37.325620,127.104763,,,테니스,0,0,0,1,1
C1391,,수지레스피아파크골프장,37.325649,127.104704,,,파크골프,0,0,1,0,0
C1392,,수지체육공원인라인스케이트장,37.329997,127.098545,,,롤러,0,0,0,1,1
C1393,,아르피아스포츠센터,37.325620,127.104763,,,생활체육,1,1,0,0,0
C1394,,용인시 국민체육센터,37.328934,127.067140,,,생활체육,1,1,0,0,0
